DATE	Inv
2011-10-01  23	95.2
2012-01-01  24	45.4
2012-04-01  24	89.3
2012-07-01  25	0.4
2012-10-01  24	81.5
2013-01-01  25	43.3
2013-04-01  25	94.6
2013-07-01  27	8.9
2013-10-01  27	45.2
2014-01-01  27	14.4
2014-04-01  28	29.3
